gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1811933_shmt1	1970.965	1919.6433333333334	-0.03806387211088343	0.6843076387643763	Downregulated	Not significant
ilmn_1674285_loc401233	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1732575_sec14l1	160.45032258064515	153.54583333333332	-0.063457326687145807	0.315800832964251	Downregulated	Not significant
ilmn_1662800_c14orf48	160.44032258064516	153.54583333333332	-0.06336740851326882	0.3164845054684493	Downregulated	Not significant
ilmn_1685591_rfx3	88.80403225806451	82.35333333333334	-0.10879813977928383	0.11879843193773976	Downregulated	Not significant
ilmn_1680465_arl5b	260.3316129032258	268.6091666666667	0.04515802613986546	0.6337155091854693	Upregulated	Not significant
ilmn_1730304_alg10	260.33	268.60583333333335	0.045149061103473664	0.633778325381694	Upregulated	Not significant
ilmn_1815673_dkk3	260.3346774193548	268.65	0.04536034186667044	0.6322443218649374	Upregulated	Not significant
ilmn_1771835_nup54	85.32983870967742	87.13666666666667	0.030229604293435897	0.7054422701429526	Upregulated	Not significant
ilmn_1730706_fosb	137.89290322580646	176.57083333333333	0.35669884336038615	0.1344513875530472	Upregulated	Not significant
ilmn_1809285_dcp1a	911.1022580645161	952.8883333333333	0.06469417332855844	0.42034368617145323	Upregulated	Not significant
ilmn_1807652_stra6	242.81645161290322	230.685	-0.07394197458467042	0.5471461494644707	Downregulated	Not significant
ilmn_1810069_ccnyl1	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1755620_ier5l	88.80451612903225	82.35416666666667	-0.10879140208598294	0.1188116793101543	Downregulated	Not significant
ilmn_1670490_pdpn	73.55870967741936	72.975	-0.011493867356794345	0.8342116529969235	Downregulated	Not significant
ilmn_1811592_arhgap21	276.46854838709675	284.7158333333333	0.0424073590982009	0.44575557287461465	Upregulated	Not significant
ilmn_1688034_coil	1993.094193548387	2006.2691666666667	0.009505281429903804	0.8274171692043291	Upregulated	Not significant
ilmn_1706957_loc283155	3787.3529032258066	4077.5616666666665	0.10651683865450808	0.23357339230811924	Upregulated	Not significant
ilmn_1666208_c14orf106	212.18564516129032	207.7425	-0.030530664770124446	0.6254477066975219	Downregulated	Not significant
ilmn_1752213_tmem60	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1690566_rassf4	914.7675806451613	925.535	0.016882310477622772	0.8768919672684007	Upregulated	Not significant
ilmn_1738589_mgll	384.25709677419354	383.9141666666667	-0.0012881075403704705	0.9840428647969512	Downregulated	Not significant
ilmn_1694479_wdr18	253.0233870967742	250.9025	-0.012143894337567449	0.8567844442884137	Downregulated	Not significant
